player_id,player_name,player_position,team_id,expected_assists,goals_scored,expected_goals_conceded,threat,influence,creativity,expected_goals,saves,goals_conceded,assists,ict_index,expected_goal_involvements,starts,minutes,total_points,clean_sheets
316,Ishé Samuels-Smith,DEF,8,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0
317,Andy Lonergan,GKP,8,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0
318,Sean McAllister,MID,8,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0
319,Cédric Alves Soares,DEF,9,0.19,0,2.83,10.0,56.4,51.4,0.06,0,3,0,11.9,0.25,2,223,10,0
320,Bernd Leno,GKP,9,0.0,0,62.75,0.0,1115.8,10.0,0.0,144,51,0,112.7,0.0,36,3240,142,8
321,Shane Duffy,DEF,9,0.0,0,1.56,7.0,0.2,0.2,0.16,0,4,0,0.2,0.16,0,17,4,0
322,Tom Cairney,MID,9,1.51,2,19.69,204.0,189.2,228.2,1.44,0,13,1,62.4,2.95,6,968,53,1
323,Tim Ream,DEF,9,0.27,1,54.05,76.0,604.2,65.2,0.24,0,44,0,74.8,0.51,33,2898,98,8
324,Anthony Knockaert,MID,9,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0
325,Nathaniel Chalobah,MID,9,0.0,0,6.73,17.0,4.6,0.6,0.09,0,4,0,2.3,0.09,1,11,1,0
326,Neeskens Kebano,MID,9,0.88,0,12.37,112.0,119.6,179.7,0.48,0,10,4,41.5,1.36,9,758,40,3
327,Bobby De Cordova-Reid,MID,9,1.49,4,46.78,508.0,365.2,326.6,3.91,0,40,1,119.7,5.4,29,2473,90,8
328,Joe Bryan,DEF,9,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0
329,Paulo Gazzaniga Farias,GKP,9,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0
330,Terence Kongolo,DEF,9,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0
331,Tosin Adarabioyo,DEF,9,0.47,1,43.91,128.0,495.0,89.8,0.71,0,39,0,71.4,1.18,23,2084,49,3
332,Aleksandar Mitrović,FWD,9,1.31,14,35.7,1141.0,584.8,216.5,15.31,0,30,2,193.1,16.62,23,2010,107,7
333,Harrison Reed,MID,9,2.04,3,53.81,266.0,480.4,495.6,1.95,0,44,4,124.2,3.99,35,2868,107,9
334,Harry Wilson,MID,9,1.03,2,21.44,173.0,209.2,182.1,2.03,0,15,5,56.4,3.06,13,1085,68,2
335,Marek Rodák,GKP,9,0.0,0,2.12,0.0,19.0,0.0,0.0,2,2,0,1.9,0.0,2,180,7,1
336,Ivan Neves Abreu Cavaleiro,MID,9,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0
337,Kenny Tete,DEF,9,1.9,1,46.78,110.0,617.8,385.6,0.74,0,36,5,111.6,2.64,29,2569,90,7
338,Josh Onomah,MID,9,0.0,0,0.61,0.0,2.0,0.6,0.0,0,2,0,0.3,0.0,0,14,2,0
339,Antonee Robinson,DEF,9,1.68,0,55.11,57.0,553.0,417.6,0.07,0,44,2,102.9,1.75,35,3088,93,9
340,Rodrigo Muniz Carvalho,FWD,9,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0
341,Jay Stansfield,FWD,9,0.03,0,1.8,46.0,8.4,12.8,0.25,0,2,1,6.7,0.28,1,85,7,0
342,João Palhinha Gonçalves,MID,9,0.39,3,56.38,336.0,560.4,141.8,2.93,0,43,0,104.2,3.32,35,3108,83,9
343,Daniel James,MID,9,0.75,2,19.98,218.0,144.6,121.4,2.02,0,18,1,48.1,2.77,7,802,45,1
344,Andreas Hoelgebaum Pereira,MID,9,4.26,4,47.49,495.0,440.6,965.0,7.16,0,40,10,189.3,11.42,33,2696,123,8
345,Issa Diop,DEF,9,0.49,1,35.86,78.0,432.6,27.7,0.29,0,26,0,53.8,0.78,21,2008,79,7
346,Tyrese Francois,MID,9,0.0,0,0.0,0.0,1.0,0.3,0.0,0,0,0,0.1,0.0,0,1,1,0
347,Kevin Mbabu,DEF,9,0.42,0,7.18,0.0,39.8,37.7,0.0,0,7,1,7.8,0.42,1,141,7,0
348,Luke Harris,MID,9,0.0,0,1.16,0.0,0.6,1.6,0.0,0,1,0,0.2,0.0,0,10,3,0
