match_id,date,time,home_team_id,away_team_id,fthg,ftag,ftr,hs,as,hst,ast,hc,ac,b365h,b365d,b365a,season_id
63,17/09/2022,15:00,15,3,1,1,D,20,10,7,3,8,1,1.44,4.4,7.5,0
64,17/09/2022,17:30,18,11,6,2,H,16,19,11,7,6,1,1.45,4.5,7.0,0
65,18/09/2022,12:00,4,1,0,3,A,5,13,2,7,3,3,4.2,3.8,1.8,0
66,18/09/2022,14:15,8,19,1,0,H,7,14,2,4,5,14,2.9,3.25,2.5,0
67,01/10/2022,12:30,1,18,3,1,H,22,7,9,3,5,2,2.05,3.75,3.3,0
68,01/10/2022,15:00,3,4,0,0,D,7,13,1,4,7,8,3.3,3.4,2.2,0
69,01/10/2022,15:00,7,6,1,2,A,7,13,3,3,5,2,4.2,3.6,1.85,0
70,01/10/2022,15:00,9,15,1,4,A,3,19,1,10,1,8,3.0,3.4,2.37,0
71,01/10/2022,15:00,12,5,3,3,D,15,6,7,6,9,2,1.33,5.25,8.5,0
72,01/10/2022,15:00,17,8,1,2,A,22,12,6,5,7,6,2.15,3.4,3.4,0
73,01/10/2022,17:30,19,20,2,0,H,18,15,5,4,1,6,1.95,3.5,4.2,0
74,02/10/2022,14:00,13,10,6,3,H,22,12,10,8,5,1,1.33,5.75,7.5,0
75,02/10/2022,16:30,10,2,0,0,D,9,19,1,7,2,9,2.35,3.4,3.0,0
76,03/10/2022,20:00,11,16,4,0,H,17,10,7,3,6,6,1.75,4.0,4.33,0
77,08/10/2022,15:00,3,11,2,1,H,10,9,4,5,7,2,3.6,3.4,2.05,0
78,08/10/2022,15:00,6,20,3,0,H,20,8,7,2,4,2,1.4,4.5,8.0,0
79,08/10/2022,15:00,13,17,4,0,H,21,5,8,0,9,1,1.11,10.0,17.0,0
80,08/10/2022,15:00,15,4,5,1,H,16,6,6,3,9,5,1.83,3.8,4.2,0
81,08/10/2022,17:30,5,18,0,1,A,14,8,4,3,6,2,2.8,3.4,2.5,0
82,09/10/2022,14:00,7,10,2,1,H,13,10,5,4,5,3,2.05,3.5,3.6,0
83,09/10/2022,14:00,19,9,3,1,H,17,8,8,2,4,2,1.72,3.8,4.75,0
84,09/10/2022,16:30,1,12,3,2,H,11,8,7,3,4,3,2.5,3.6,2.62,0
85,09/10/2022,19:00,8,10,1,2,A,11,12,2,4,5,4,3.6,3.5,2.05,0
86,10/10/2022,20:00,16,2,1,1,D,6,12,3,2,1,4,3.3,3.4,2.2,0
87,14/10/2022,20:00,4,5,2,0,H,7,21,3,7,2,11,3.1,3.4,2.3,0
88,15/10/2022,12:30,11,7,0,0,D,14,8,5,1,9,2,2.3,3.4,3.1,0
89,15/10/2022,15:00,9,3,2,2,D,19,10,4,6,5,6,1.85,3.75,4.0,0
90,15/10/2022,15:00,20,16,1,0,H,9,10,2,2,4,5,1.7,3.75,5.0,0
91,15/10/2022,17:30,18,8,2,0,H,21,4,7,0,7,1,1.5,4.5,6.5,0
92,16/10/2022,14:00,2,6,0,2,A,18,8,7,4,7,1,4.33,3.75,1.8,0
93,16/10/2022,14:00,10,1,0,1,A,16,9,4,4,6,3,6.0,4.2,1.55,0
94,16/10/2022,14:00,10,15,0,0,D,15,9,2,2,4,4,1.95,3.8,3.5,0
95,16/10/2022,14:00,17,19,1,1,D,10,25,8,4,4,14,2.9,3.4,2.4,0
96,16/10/2022,16:30,12,13,1,0,H,13,16,2,6,5,6,3.6,4.0,1.9,0
97,18/10/2022,19:30,5,16,0,0,D,19,3,7,0,9,1,1.4,4.75,7.0,0
98,18/10/2022,20:15,7,20,2,1,H,14,10,4,4,4,3,2.25,3.1,3.4,0
99,19/10/2022,19:30,3,17,0,1,A,15,9,3,3,7,3,2.62,3.3,2.62,0
100,19/10/2022,19:30,4,6,0,0,D,8,14,5,5,6,2,4.75,3.8,1.72,0
101,19/10/2022,19:30,12,19,1,0,H,22,8,7,3,8,3,1.4,5.0,7.0,0
102,19/10/2022,19:30,15,8,1,0,H,16,1,4,0,8,2,1.6,3.8,5.75,0
103,19/10/2022,20:15,10,18,2,0,H,28,9,10,2,8,3,2.45,3.5,2.75,0
104,20/10/2022,19:30,9,2,3,0,H,18,12,8,6,9,7,2.9,3.3,2.5,0
105,20/10/2022,20:15,11,10,2,0,H,5,14,1,2,2,9,2.25,3.6,3.0,0
106,22/10/2022,12:30,16,12,1,0,H,10,15,7,7,2,11,11.0,6.0,1.25,0
107,22/10/2022,15:00,8,7,3,0,H,9,9,6,2,3,4,2.6,3.2,2.87,0
108,22/10/2022,15:00,13,5,3,1,H,10,8,4,2,7,3,1.2,7.0,13.0,0
109,22/10/2022,17:30,6,10,1,1,D,6,13,2,6,6,4,2.05,3.5,3.5,0
110,23/10/2022,14:00,2,4,4,0,H,19,12,11,3,7,6,2.1,3.5,3.5,0
111,23/10/2022,14:00,10,9,2,3,A,14,11,5,5,3,6,2.05,3.5,3.6,0
112,23/10/2022,14:00,17,1,1,1,D,10,12,3,3,9,4,6.0,4.0,1.57,0
113,23/10/2022,14:00,20,11,0,4,A,21,5,5,4,9,2,2.25,3.25,3.25,0
114,23/10/2022,16:30,18,15,1,2,A,17,13,5,5,6,7,2.05,3.5,3.5,0
115,24/10/2022,20:00,19,3,2,0,H,20,5,4,3,5,0,1.55,4.0,6.0,0
116,29/10/2022,12:30,11,13,0,1,A,10,15,5,5,3,10,10.0,6.5,1.25,0
117,29/10/2022,15:00,3,18,2,3,A,6,23,4,7,2,19,5.0,3.8,1.7,0
118,29/10/2022,15:00,4,20,1,1,D,12,14,3,4,3,6,2.2,3.4,3.3,0
119,29/10/2022,15:00,5,6,4,1,H,19,15,9,7,8,7,3.0,3.3,2.4,0
120,29/10/2022,15:00,7,17,1,0,H,12,14,3,4,8,4,1.9,3.6,4.0,0
121,29/10/2022,15:00,15,2,4,0,H,20,3,7,0,3,0,1.8,3.75,4.5,0
122,29/10/2022,17:30,9,8,0,0,D,24,9,6,4,13,4,2.37,3.4,3.0,0
123,29/10/2022,19:45,12,10,1,2,A,22,14,10,6,14,5,1.3,6.0,9.0,0
124,30/10/2022,14:00,1,16,5,0,H,24,5,10,2,9,4,1.2,7.0,12.0,0
125,30/10/2022,16:15,10,19,1,0,H,16,13,3,5,5,10,1.66,4.0,4.8,0
126,05/11/2022,15:00,10,3,4,3,H,18,9,4,6,13,3,1.72,3.8,4.75,0
127,05/11/2022,15:00,13,9,2,1,H,16,4,5,2,9,0,1.11,9.5,19.0,0
128,05/11/2022,15:00,16,4,2,2,D,15,6,7,2,3,3,2.75,3.3,2.6,0
129,05/11/2022,15:00,20,5,2,3,A,8,19,5,8,4,9,3.3,3.3,2.25,0
